country,isocode,subregion,year,region,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
Denmark,DNK,Northern Europe,2015,Europe,48910.3324371901,28.2,12.152,1.0908386,0,0,0,0
Denmark,DNK,Northern Europe,2010,Europe,43042.394637021,27.2,15.554,0.7570483,0,0,0,0
Djibouti,DJI,Sub-Saharan Africa,2020,Africa,5527.00185229888,39.6,82.409,1.4692488,0,0,1,0
Djibouti,DJI,Sub-Saharan Africa,2015,Africa,4263.96288890455,50.8,72.503,1.7847812,0,0,1,0
Djibouti,DJI,Sub-Saharan Africa,2010,Africa,2994.28032714875,46,70.018,9.799011,0,0,1,0
Dominica,DMA,Latin America and the Caribbean,2020,Americas,14243.7623123898,40.6,14.575,22.198215,1,0,0,0
Dominica,DMA,Latin America and the Caribbean,2015,Americas,12092.7315992676,49.2,47.478,12.782275,0,0,0,0
Dominica,DMA,Latin America and the Caribbean,2010,Americas,10924.0953245506,53.1,8.468,21.783804,1,0,0,0
Dominican Republic,DOM,Latin America and the Caribbean,2020,Americas,18998.3069667315,39.6,14.766,8.729776,0,0,0,0
Dominican Republic,DOM,Latin America and the Caribbean,2015,Americas,14804.0974069659,45.2,16.426,6.3028355,0,0,0,0
Dominican Republic,DOM,Latin America and the Caribbean,2010,Americas,11245.6811892201,47.3,10.81,25.193033,1,0,0,0
Ecuador,ECU,Latin America and the Caribbean,2020,Americas,11526.8013009278,47.3,11.079,7.8194175,0,0,0,0
Ecuador,ECU,Latin America and the Caribbean,2015,Americas,10877.7507461388,46,8.824,6.4550934,0,0,0,0
Ecuador,ECU,Latin America and the Caribbean,2010,Americas,8968.94040838943,48.8,9.286,17.404345,0,0,0,0
"Egypt, Arab Rep.",EGY,Northern Africa,2020,Africa,15231.865417764,30,18.463,6.528054,0,0,0,0
"Egypt, Arab Rep.",EGY,Northern Africa,2015,Africa,10903.3368231185,31.8,34.16,4.453473,0,0,0,0
"Egypt, Arab Rep.",EGY,Northern Africa,2010,Africa,8837.76450033703,30.2,24.583,1.4692488,0,0,0,0
El Salvador,SLV,Latin America and the Caribbean,2020,Americas,9392.68913817943,44.6,11.069,21.508745,1,0,0,0
El Salvador,SLV,Latin America and the Caribbean,2015,Americas,7933.73697858999,40.6,8.661,107.63823,1,0,0,0
El Salvador,SLV,Latin America and the Caribbean,2010,Americas,6247.91452716829,43.5,10.156,65.70264,1,0,0,0
Equatorial Guinea,GNQ,Sub-Saharan Africa,2020,Africa,13677.110587517,37.5,17.665,8.237903,0,0,0,0
Equatorial Guinea,GNQ,Sub-Saharan Africa,2015,Africa,19478.7010123338,36.5,15.692,2.3653512,0,0,0,0
Equatorial Guinea,GNQ,Sub-Saharan Africa,2010,Africa,26167.8268525276,39.5,15.958,9.34038,0,0,0,0
Eritrea,ERI,Sub-Saharan Africa,2020,Africa,786.515830674648,41.5,10.732,9.952186,0,0,0,0
Eritrea,ERI,Sub-Saharan Africa,2015,Africa,2994.28032714875,35,9.758,2.0960221,0,0,0,0
Eritrea,ERI,Sub-Saharan Africa,2010,Africa,1599.19106106457,43,10.228,2.820436,0,0,0,0
