year,country,isocode,region,subregion,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
2020,Estonia,EST,Europe,Northern Europe,40672.1340402132,30.7,18.417,3.1586797,0,0,0,0
2015,Estonia,EST,Europe,Northern Europe,29720.5911161676,32.7,14.342,3.423157,0,0,0,0
2010,Estonia,EST,Europe,Northern Europe,21616.7122418461,32,32.938,5.257432,0,0,0,0
2020,Eswatini,SWZ,Africa,Sub-Saharan Africa,9297.5881020884,NA,58.728,NA,0,0,1,0
2015,Eswatini,SWZ,Africa,Sub-Saharan Africa,8393.35393669388,NA,48.094,9.800383,0,0,0,0
2010,Eswatini,SWZ,Africa,Sub-Saharan Africa,7230.86004359533,NA,54.314,18.710926,0,0,1,0
2020,Ethiopia,ETH,Africa,Sub-Saharan Africa,2406.78938478669,NA,6.359,NA,0,0,0,0
2015,Ethiopia,ETH,Africa,Sub-Saharan Africa,1632.61818006837,35,3.811,NA,0,0,0,0
2010,Ethiopia,ETH,Africa,Sub-Saharan Africa,995.65397860146,33.2,3.44,NA,0,0,0,0
2020,Faroe Islands,FRO,Europe,Northern Europe,61648.5056152701,NA,NA,NA,0,0,0,0
2015,Faroe Islands,FRO,Europe,Northern Europe,53682.1715306081,NA,NA,NA,0,0,0,0
2010,Faroe Islands,FRO,Europe,Northern Europe,39766.5911029215,NA,NA,NA,0,0,0,0
2020,Fiji,FJI,Oceania,Melanesia,11235.2760396525,NA,17.142,2.950939,0,0,0,0
2015,Fiji,FJI,Oceania,Melanesia,11733.7429205049,NA,14.638,NA,0,0,0,0
2010,Fiji,FJI,Oceania,Melanesia,7476.10752715045,NA,13.059,2.1967907,0,0,0,0
2020,Finland,FIN,Europe,Northern Europe,53296.5792798852,27.1,21.193,1.7541918,0,0,0,0
2015,Finland,FIN,Europe,Northern Europe,42269.2212218196,27.1,22.304,1.4964275,0,0,0,0
2010,Finland,FIN,Europe,Northern Europe,38950.5525874191,27.7,21.288,2.2001173,0,0,0,0
2020,France,FRA,Europe,Western Europe,49481.8044309655,30.7,20.398,1.0499917,0,0,0,0
2015,France,FRA,Europe,Western Europe,40916.10535718,32.7,25.262,1.5589297,0,0,0,0
2010,France,FRA,Europe,Western Europe,35911.5438581409,33.7,23.592,1.2551768,0,0,0,0
2020,French Polynesia,PYF,Oceania,Polynesia,NA,NA,41.36,NA,0,0,0,0
2015,French Polynesia,PYF,Oceania,Polynesia,NA,NA,35.564,NA,0,0,0,0
2010,French Polynesia,PYF,Oceania,Polynesia,NA,NA,35.127,NA,0,0,0,0
2020,Gabon,GAB,Africa,Sub-Saharan Africa,14477.1308291818,NA,39.777,NA,0,0,0,0
2015,Gabon,GAB,Africa,Sub-Saharan Africa,14306.4340768252,NA,35.907,NA,0,0,0,0
2010,Gabon,GAB,Africa,Sub-Saharan Africa,14014.6905491122,NA,35.935,NA,0,0,0,0
2020,"Gambia, The",GMB,Africa,Sub-Saharan Africa,2530.80414937307,38.8,10.283,NA,0,0,0,0
2015,"Gambia, The",GMB,Africa,Sub-Saharan Africa,1990.31625750973,35.9,11.079,NA,0,0,0,0
2010,"Gambia, The",GMB,Africa,Sub-Saharan Africa,2266.82898238442,43.6,14.218,NA,0,0,0,0
2020,Georgia,GEO,Asia,Western Asia,16791.2598654465,34.5,30.852,NA,0,0,0,0
2015,Georgia,GEO,Asia,Western Asia,12269.6528932768,36.5,36.483,NA,0,0,0,0
2010,Georgia,GEO,Asia,Western Asia,7711.80683889487,39.5,41.26,4.7998877,0,0,0,0
2020,Germany,DEU,Europe,Western Europe,58685.872699771,32.4,7.862,0.9350856,0,0,0,0
2015,Germany,DEU,Europe,Western Europe,48558.4432970969,31.7,7.328,0.8309215,0,0,0,0
2010,Germany,DEU,Europe,Western Europe,39730.4897885271,30.2,10.416,0.98106015,0,0,0,0
2020,Ghana,GHA,Africa,Sub-Saharan Africa,6047.30111673554,NA,6.399,1.7404771,0,0,0,0
2015,Ghana,GHA,Africa,Sub-Saharan Africa,5191.37053389659,NA,14.238,1.829519,0,0,0,0
2010,Ghana,GHA,Africa,Sub-Saharan Africa,3855.46891716757,NA,11.103,1.6565263,0,0,0,0
2020,Gibraltar,GIB,Europe,Southern Europe,NA,NA,NA,NA,0,0,0,0
2015,Gibraltar,GIB,Europe,Southern Europe,NA,NA,NA,NA,0,0,0,0
2010,Gibraltar,GIB,Europe,Southern Europe,NA,NA,NA,3.2002048,0,0,0,0
2020,Greece,GRC,Europe,Southern Europe,29533.087740299,33.6,33.74,0.72901493,0,0,0,0
2015,Greece,GRC,Europe,Southern Europe,26614.8483754225,36,49.731,0.8594477,0,0,0,0
2010,Greece,GRC,Europe,Southern Europe,27841.8591363591,34.1,33.005,1.5820694,0,0,0,0
2020,Greenland,GRL,Americas,Northern America,64999.4435683064,NA,NA,NA,0,0,0,0
2015,Greenland,GRL,Americas,Northern America,55815.6502883612,NA,NA,7.1401796,0,0,0,0
2010,Greenland,GRL,Americas,Northern America,50190.8817880429,NA,NA,19.429651,0,0,0,0
2020,Grenada,GRD,Americas,Latin America and the Caribbean,14361.1267154452,NA,NA,12.033591,0,0,0,0
2015,Grenada,GRD,Americas,Latin America and the Caribbean,13214.4096644941,NA,NA,5.2321324,0,0,0,0
2010,Grenada,GRD,Americas,Latin America and the Caribbean,10344.3839189192,NA,NA,8.961698,0,0,0,0
2020,Guam,GUM,Oceania,Micronesia,NA,NA,15.446,NA,0,0,0,0
2015,Guam,GUM,Oceania,Micronesia,NA,NA,16.393,NA,0,0,0,0
